code,name,departmentCode,fee
THYR,THYRID,RAD,
THYROD,THYROIDECTOMY,OPEN,
THYROI,THYROID DOPPLER,RAD,
TRAN,TRAN THORACIC ECHO,INTER,
TRANS,TRANSESOPHAGEAL ECHO.TEE,INTER,
TRYR,AB.PERVIC THYROID,RAD,
TUBE,TUBE LIGATION,GYN,
TURB,TURB FOR BLADDER TUMOR,URO,
TURP,TURP FOR PROSTAT,URO,
U1,DOPPLER U/S,RAD,
U2,ECHO (ADULT),RAD,
U3,ECHO (PEDIATRIC),RAD,
U4,SCROTAL,RAD,
U5,SCROLAP COLOR DOPPLER,RAD,
U6,TCD,RAD,
U7,PAROTIT,RAD,
UCU,UCULAR DOPPLER,RAD,
ULTR,ULTRASOUND,RAD,
UPP,UPPER AND LOWER LIMB DOPPLER,RAD,
URE,URETAR REMIPLATATION,URO,
URETER,URETEROLITHOTOMY,OPEN,
URS,URS,URO,
VERC,VARICOCELECTOMY,OPEN,
VERCO,VERCOCELECTOMY,URO,
VIP,VIP BED FEE/24HR,INTER,
VIS,VISIT,OPD,
WARD,WARD BED FEE/24HR,INTER,
WISDOM,WISDOM TOOTH EXT,DENTA,
WRIST,WRIST X-RAY,RAD,
ZARCON,ZARCONIUM,DENTA,
